Filename,Extension,Path,File Size,Width,Height,Resolution,FPS,Duration,Frame Count,Readable,Corrupted,Transcript
bbaf2n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaf2n.mpg,452608,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at f two now
bbaf3s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaf3s.mpg,438272,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at f three soon
bbaf4p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaf4p.mpg,430080,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at f four please
bbaf5a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaf5a.mpg,446464,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at f five again
bbal6n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbal6n.mpg,428032,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at l six now
bbal7s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbal7s.mpg,411648,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at l seven soon
bbal8p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbal8p.mpg,419840,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at l eight please
bbal9a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbal9a.mpg,411648,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at l nine again
bbas1s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbas1s.mpg,442368,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at s one soon
bbas2p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbas2p.mpg,407552,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at s two please
bbas3a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbas3a.mpg,473088,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at s three again
bbaszn.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaszn.mpg,417792,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at s zero now
bbaz4n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaz4n.mpg,438272,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at z four now
bbaz5s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaz5s.mpg,477184,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at z five soon
bbaz6p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaz6p.mpg,421888,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at z six please
bbaz7a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbaz7a.mpg,411648,360,288,360 x 288,25.0,3.0,75,True,False,bin blue at z seven again
bbbf6n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbf6n.mpg,428032,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by f six now
bbbf7s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbf7s.mpg,454656,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by f seven soon
bbbf8p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbf8p.mpg,432128,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by f eight please
bbbf9a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbf9a.mpg,405504,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by f nine again
bbbm1s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbm1s.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by m one soon
bbbm2p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbm2p.mpg,450560,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by m two please
bbbm3a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbm3a.mpg,407552,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by m three again
bbbmzn.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbmzn.mpg,430080,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by m zero now
bbbs4n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbs4n.mpg,425984,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by s four now
bbbs5s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbs5s.mpg,487424,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by s five soon
bbbs6p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbs6p.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by s six please
bbbs7a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbs7a.mpg,421888,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by s seven again
bbbz8n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbz8n.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by z eight now
bbbz9s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbbz9s.mpg,458752,360,288,360 x 288,25.0,3.0,75,True,False,bin blue by z nine soon
bbie8n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbie8n.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in e eight now
bbie9s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbie9s.mpg,419840,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in e nine soon
bbif1a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbif1a.mpg,413696,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in f one again
bbifzp.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbifzp.mpg,419840,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in f zero please
bbil2n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbil2n.mpg,425984,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in l two now
bbil3s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbil3s.mpg,428032,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in l three soon
bbil4p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbil4p.mpg,411648,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in l four please
bbil5a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbil5a.mpg,413696,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in l five again
bbir6n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbir6n.mpg,438272,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in r six now
bbir7s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbir7s.mpg,415744,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in r seven soon
bbir8p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbir8p.mpg,407552,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in r eight please
bbir9a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbir9a.mpg,430080,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in r nine again
bbiz1s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbiz1s.mpg,403456,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in z one soon
bbiz2p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbiz2p.mpg,432128,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in z two please
bbiz3a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbiz3a.mpg,432128,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in z three again
bbizzn.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbizzn.mpg,436224,360,288,360 x 288,25.0,3.0,75,True,False,bin blue in z zero now
bbwg1s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwg1s.mpg,477184,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with g one soon
bbwg2p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwg2p.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with g two please
bbwg3a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwg3a.mpg,434176,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with g three again
bbwgzn.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwgzn.mpg,419840,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with g zero now
bbwm4n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwm4n.mpg,423936,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with m four now
bbwm5s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwm5s.mpg,444416,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with m five soon
bbwm6p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwm6p.mpg,440320,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with m six please
bbwm7a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwm7a.mpg,421888,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with m seven again
bbws8n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbws8n.mpg,438272,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with s eight now
bbws9s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbws9s.mpg,440320,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with s nine soon
bbwt1a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwt1a.mpg,436224,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with t one again
bbwtzp.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bbwtzp.mpg,425984,360,288,360 x 288,25.0,3.0,75,True,False,bin blue with t zero please
bgaa6n.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgaa6n.mpg,475136,360,288,360 x 288,25.0,3.0,75,True,False,bin green at a six now
bgaa7s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgaa7s.mpg,438272,360,288,360 x 288,25.0,3.0,75,True,False,bin green at a seven soon
bgaa8p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgaa8p.mpg,425984,360,288,360 x 288,25.0,3.0,75,True,False,bin green at a eight please
bgaa9a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgaa9a.mpg,460800,360,288,360 x 288,25.0,3.0,75,True,False,bin green at a nine again
bgah1s.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgah1s.mpg,425984,360,288,360 x 288,25.0,3.0,75,True,False,bin green at h one soon
bgah2p.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgah2p.mpg,428032,360,288,360 x 288,25.0,3.0,75,True,False,bin green at h two please
bgah3a.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgah3a.mpg,440320,360,288,360 x 288,25.0,3.0,75,True,False,bin green at h three again
bgahzn.mpg,.mpg,C:\Users\prash\Downloads\archive (3)\data\s1\bgahzn.mpg,444416,360,288,360 x 288,25.0,3.0,75,True,False,bin green at h zero now
